SKU_CODE,PRODUCT_NAME,COLOUR,CATEGORY,SUB_CATEGORY,TAGS,COLLECTIVE_SET,COST_PRICE,SELL_PRICE
SKU0001,Tractor Synthetic Enamel,Oak,Paints,Enamels,"[""scandinavian"", ""handmade"", ""paint"", ""renovation"", ""oak"", ""functional"", ""wall treatment"", ""stylish""]","[""home renovation supplies"", ""painting project kit"", ""designer's choice"", ""industrial loft look""]",258.42,456.77
SKU0002,Linen Shower Caddy,Oak,Bathroom,Storage Rack,"[""durable"", ""handmade"", ""oak"", ""bathroom"", ""linen"", ""home""]","[""complete decor kit""]",290.83,842.99
SKU0003,Direct to Metal Protective Paint,Silver,Paints,Metal Finishes,"[""farmhouse"", ""metal"", ""paint"", ""silver"", ""renovation"", ""decor"", ""coastal"", ""seating"", ""stylish"", ""wall treatment""]","[""modern minimalist vibe"", ""complete decor kit"", ""painting project kit"", ""home renovation supplies""]",353.04,550.67
SKU0004,Luxury Comforter,Charcoal,Textiles,Bedding,"[""scandinavian"", ""space-saving"", ""handmade"", ""decor"", ""coastal"", ""charcoal""]","[""complete decor kit"", ""bathroom essentials""]",236.58,550.09
SKU0005,Metal Non-stick Pan Set,Sage Green,Kitchen,Cookware,"[""sage green"", ""durable"", ""metal"", ""portable"", ""functional"", ""kitchen"", ""lighting""]","[""modern minimalist vibe"", ""complete decor kit""]",332.42,718.78
SKU0006,Rattan Bathroom Vanity,Walnut,Furniture,Vanity,"[""walnut"", ""farmhouse"", ""durable"", ""storage"", ""bathroom"", ""comfort"", ""rattan""]","[""nursery decor"", ""complete decor kit""]",286.22,605.91
SKU0007,Tranquil Silky Satin Bedsheet Set,Lavender,Home Necessities,Bedsheets,"[""silk"", ""lavender"", ""adjustable"", ""bedroom"", ""unique"", ""seating"", ""essential"", ""comfort"", ""home""]","[""sleep well set"", ""living room set"", ""bedroom comfort bundle"", ""home essentials""]",417.05,1155.68
SKU0008,Textured Area Rug (5x7),Orange,Textiles,Rug,"[""space-saving"", ""farmhouse"", ""durable"", ""handmade"", ""orange"", ""glam""]","[""home essentials""]",403.93,1026.67
SKU0009,Red Oxide Metal Primer,Rose Gold,Paints,Primers,"[""minimalist"", ""metal"", ""paint"", ""renovation"", ""giftable"", ""decor"", ""coastal"", ""seating"", ""wall treatment"", ""rose gold"", ""essential""]","[""home renovation supplies"", ""painting project kit"", ""home essentials""]",212.81,361.79
SKU0010,Elegant Cotton Sheet Set,Brown,Textiles,Sheets,"[""farmhouse"", ""adjustable"", ""cotton"", ""rustic"", ""ambient"", ""functional"", ""unique"", ""brown""]","[""curated collection"", ""dining collection""]",236.30,493.94
SKU0011,Set of 3 Indoor Planters,Multicolor,Decor,Planter,"[""multicolor"", ""stylish"", ""adjustable""]","[""designer's choice""]",427.23,1264.91
SKU0012,Hypoallergenic Chunky Knit Wool Blanket,Pine,Home Necessities,Blankets,"[""minimalist"", ""storage"", ""wool"", ""decor"", ""bedroom"", ""pine"", ""essential"", ""comfort""]","[""boho chic set"", ""sleep well set"", ""bedroom comfort bundle"", ""designer's choice"", ""living room set""]",373.78,580.10
SKU0013,Set of 6 Tumblers,Terracotta,Kitchen,Glassware,"[""minimalist"", ""durable"", ""portable"", ""industrial"", ""kitchen"", ""classic"", ""terracotta""]","[""glamorous accents"", ""designer's choice""]",414.99,938.55
SKU0014,Wood Storage Bin with Lid,Maple,Storage,Bin,"[""wood"", ""seating"", ""stylish"", ""maple""]","[""complete decor kit""]",395.65,904.42
SKU0015,Vibrant Silk Blend Sheets,Cream,Textiles,Sheets,"[""scandinavian"", ""silk"", ""cream"", ""stylish"", ""contemporary"", ""comfort""]","[""modern minimalist vibe"", ""curated collection"", ""bathroom essentials""]",100.55,204.82
SKU0016,Oak Cheese Board,Red,Kitchen,Serveware,"[""durable"", ""red"", ""bohemian"", ""functional"", ""oak"", ""kitchen"", ""essential"", ""glam""]","[""home essentials""]",142.73,254.14
SKU0017,Industrial Botanical Wall Art,Silver,Art,Wall Decor,"[""modern"", ""farmhouse"", ""silver"", ""handmade"", ""comfort""]","[""curated collection""]",166.07,431.35
SKU0018,Rattan Ceramic Plate Set of 4,Pine,Kitchen,Tableware,"[""soft"", ""storage"", ""bohemian"", ""ceramic"", ""rattan"", ""stylish"", ""kitchen"", ""pine"", ""glam""]","[""glamorous accents"", ""home essentials""]",259.97,664.66
SKU0019,Rust-Stop Metal Paint,Copper,Paints,Metal Finishes,"[""durable"", ""metal"", ""paint"", ""copper"", ""renovation"", ""coastal"", ""wall treatment"", ""lighting""]","[""painting project kit"", ""designer's choice"", ""home renovation supplies""]",397.09,807.34
SKU0020,Pine Dining Chair (Set of 2),Lavender,Furniture,Chair,"[""minimalist"", ""lavender"", ""unique"", ""seating"", ""pine"", ""comfort""]","[""designer's choice""]",351.86,773.74
SKU0021,Crystal Kitchen Cart,Indigo,Storage,Utility Cart,"[""minimalist"", ""indigo"", ""bohemian"", ""decor"", ""unique"", ""seating"", ""kitchen"", ""crystal"", ""essential""]","[""designer's choice"", ""industrial loft look""]",79.30,168.86
SKU0022,Ergonomic Serving Bowl,Black,Kitchen,Serveware,"[""durable"", ""black"", ""adjustable"", ""kitchen"", ""glam""]","[""designer's choice""]",301.23,847.17
SKU0023,Glass Towel Set (6-piece),Pink,Bathroom,Towel Set,"[""glass"", ""modern"", ""pink"", ""portable"", ""ambient"", ""bathroom""]","[""complete decor kit""]",355.71,654.42
SKU0024,Classic Silk Blend Sheets,Floral,Textiles,Sheets,"[""silk"", ""minimalist"", ""durable"", ""handmade"", ""floral""]","[""bedroom decor"", ""complete decor kit""]",352.12,798.40
SKU0025,Iron Framed Print,Emerald,Art,Framed Art,"[""industrial"", ""ambient"", ""decor"", ""stylish"", ""emerald"", ""iron"", ""comfort""]","[""designer's choice""]",334.31,898.04
SKU0026,Elegant Table Lamp,Rose Gold,Lighting,Table Lamp,"[""durable"", ""rustic"", ""giftable"", ""rose gold"", ""comfort""]","[""complete decor kit""]",346.13,854.18
SKU0027,Silk Woven Basket (Large),Turquoise,Storage,Basket,"[""silk"", ""minimalist"", ""handmade"", ""portable"", ""turquoise"", ""giftable"", ""classic"", ""woven""]","[""complete decor kit""]",50.27,105.08
SKU0028,Marble Kitchen Cart,Charcoal,Storage,Utility Cart,"[""scandinavian"", ""farmhouse"", ""marble"", ""kitchen"", ""charcoal"", ""classic"", ""comfort""]","[""designer's choice""]",272.81,522.07
SKU0029,Stackable Storage Bins (2-pack),Cream,Kitchen,Storage,"[""minimalist"", ""soft"", ""farmhouse"", ""cream"", ""stylish"", ""kitchen"", ""classic"", ""comfort""]","[""designer's choice""]",115.64,222.49
SKU0030,Marble Arch Floor Lamp,Teal,Lighting,Floor Lamp,"[""modern"", ""farmhouse"", ""bohemian"", ""marble"", ""seating"", ""classic"", ""teal"", ""comfort""]","[""boho chic set"", ""nursery decor"", ""home essentials""]",87.55,184.77
SKU0031,Mahogany Office Desk,Emerald,Furniture,Desk,"[""soft"", ""mahogany"", ""industrial"", ""decor"", ""home office"", ""emerald""]","[""complete decor kit""]",105.62,313.41
SKU0032,Rattan Storage Unit,Rose Gold,Furniture,Storage,"[""rose gold"", ""rattan"", ""handmade"", ""home""]","[""boho chic set"", ""living room set"", ""home essentials""]",412.60,1051.97
SKU0033,Waffle Weave Shower Curtain,Indigo,Bathroom,Shower Curtain,"[""minimalist"", ""indigo"", ""bohemian"", ""bathroom"", ""seating"", ""stylish"", ""classic"", ""comfort""]","[""glamorous accents"", ""designer's choice""]",215.00,644.37
SKU0034,Silk Shower Caddy,Gold,Bathroom,Storage Rack,"[""silk"", ""adjustable"", ""gold"", ""ambient"", ""bohemian"", ""bathroom"", ""coastal"", ""stylish"", ""classic""]","[""complete decor kit"", ""glamorous accents""]",347.77,722.28
SKU0035,Jute Geometric Pendant Light,Cream,Lighting,Pendant Light,"[""space-saving"", ""modern"", ""jute"", ""industrial"", ""cream"", ""lighting"", ""glam""]","[""living room set"", ""home essentials""]",280.82,741.11
SKU0036,Apex Metal Enamel,Copper,Paints,Metal Finishes,"[""scandinavian"", ""soft"", ""metal"", ""paint"", ""copper"", ""renovation"", ""eco-friendly"", ""functional"", ""wall treatment"", ""classic"", ""glam""]","[""complete decor kit"", ""painting project kit"", ""home renovation supplies""]",118.19,199.65
SKU0037,Coastal Jute Runner Rug,Charcoal,Textiles,Rug,"[""handmade"", ""jute"", ""coastal"", ""stylish"", ""charcoal"", ""contemporary"", ""lighting""]","[""modern minimalist vibe"", ""nursery decor"", ""complete decor kit""]",177.82,461.68
SKU0038,Plush Jute Runner Rug,Navy,Textiles,Rug,"[""minimalist"", ""modern"", ""adjustable"", ""jute"", ""navy"", ""essential"", ""contemporary""]","[""living room set"", ""curated collection""]",146.39,313.04
SKU0039,Classic Lumbar Pillow,Transparent,Textiles,Cushion,"[""minimalist"", ""transparent"", ""giftable"", ""handmade""]","[""outdoor living"", ""designer's choice""]",195.16,469.06
SKU0040,Modern Food Canister Set of 3,Gold,Kitchen,Storage,"[""storage"", ""portable"", ""gold"", ""kitchen"", ""home""]","[""modern minimalist vibe"", ""home essentials""]",381.27,1028.72
SKU0041,Glass Abstract Canvas Print,Emerald,Art,Wall Decor,"[""space-saving"", ""glass"", ""bohemian"", ""unique"", ""stylish"", ""emerald""]","[""complete decor kit""]",440.89,1301.69
SKU0042,Leather Sofa,Terracotta,Furniture,Sofa,"[""farmhouse"", ""living room"", ""storage"", ""portable"", ""rustic"", ""giftable"", ""leather"", ""terracotta"", ""home""]","[""nursery decor"", ""designer's choice"", ""industrial loft look""]",101.76,207.04
SKU0043,Glass Laundry Hamper,Grey,Storage,Basket,"[""glass"", ""space-saving"", ""industrial"", ""seating"", ""stylish"", ""grey""]","[""complete decor kit""]",193.79,310.67
SKU0044,Handcrafted Shower Curtain,Beige,Bathroom,Shower Curtain,"[""durable"", ""industrial"", ""ambient"", ""beige"", ""bathroom"", ""unique"", ""seating"", ""glam""]","[""home essentials""]",46.21,121.75
SKU0045,Rattan LED Vanity Mirror,Brown,Bathroom,Vanity Mirror,"[""minimalist"", ""ambient"", ""decor"", ""bathroom"", ""brown"", ""rattan""]","[""glamorous accents"", ""home essentials""]",251.41,415.14
SKU0046,Silk Chandelier,Gold,Lighting,Ceiling Lamp,"[""scandinavian"", ""silk"", ""minimalist"", ""modern"", ""soft"", ""gold"", ""unique""]","[""designer's choice""]",448.08,976.30
SKU0047,Plush Wall Tapestry,Turquoise,Art,Tapestry,"[""durable"", ""storage"", ""turquoise"", ""comfort"", ""home""]","[""glamorous accents"", ""designer's choice""]",31.73,72.26
SKU0048,Handcrafted Blackout Curtains (Pair),Beige,Home Necessities,Curtains,"[""storage"", ""beige"", ""bohemian"", ""seating"", ""stylish"", ""essential"", ""comfort""]","[""modern minimalist vibe"", ""bedroom decor"", ""home essentials""]",70.91,151.06
SKU0049,Red Oxide Metal Primer,Mustard Yellow,Paints,Primers,"[""space-saving"", ""metal"", ""paint"", ""mustard yellow"", ""renovation"", ""bohemian"", ""decor"", ""wall treatment""]","[""painting project kit"", ""designer's choice"", ""home renovation supplies""]",245.53,484.23
SKU0050,Woven Arch Floor Lamp,Indigo,Lighting,Floor Lamp,"[""indigo"", ""handmade"", ""portable"", ""classic"", ""woven""]","[""nursery decor"", ""curated collection""]",91.16,155.43
SKU0051,Iron Non-stick Pan Set,Turquoise,Kitchen,Cookware,"[""space-saving"", ""storage"", ""turquoise"", ""bohemian"", ""kitchen"", ""classic"", ""iron""]","[""home essentials""]",437.53,984.74
SKU0052,Apcolite Premium Satin Emulsion,Rust,Paints,Interior Paints,"[""scandinavian"", ""soft"", ""paint"", ""renovation"", ""rustic"", ""wall treatment"", ""rust"", ""home""]","[""curated collection"", ""painting project kit"", ""home renovation supplies""]",256.16,472.78
SKU0053,Set of 2 Linen Pillowcases,Red,Textiles,Pillowcase,"[""handmade"", ""red"", ""eco-friendly"", ""functional"", ""linen"", ""classic""]","[""home essentials""]",35.81,93.01
